ID,Ontologies,Visualization,Task_Success,Time_On_Task
p1,1,1,0.608695652,26
p3,1,1,0.47826087,10
p5,1,1,0.52173913,22
p7,1,1,0.565217391,16
p11,1,1,0.47826087,15
p13,1,1,0.434782609,35
p15,1,1,0.52173913,9
p17,1,1,0.434782609,14
p19,1,1,0.565217391,14
p21,1,1,0.434782609,16
p23,1,1,0.565217391,13
p25,1,1,0.565217391,34
p27,1,1,0.260869565,13
p31,1,1,0.39130434799999997,14
p33,1,1,0.47826087,22
p35,1,1,0.608695652,9
