ID,Ontologies,Visualization,Task_Success,Time_On_Task
p2,1,2,0.347826087,19
p4,1,2,0.39130434799999997,12
p6,1,2,0.869565217,26
p10,1,2,0.608695652,17
p12,1,2,0.304347826,17
p14,1,2,0.52173913,15
p16,1,2,0.52173913,28
p18,1,2,0.739130435,21
p20,1,2,0.39130434799999997,30
p24,1,2,0.565217391,32
p28,1,2,0.52173913,10
p30,1,2,0.39130434799999997,23
p32,1,2,0.304347826,21
p34,1,2,0.608695652,38
p36,1,2,0.434782609,21
