ID,Ontologies,Visualization,Task_Success,Time_On_Task
p1,2,2,0.52173913,38
p3,2,2,0.39130434799999997,50
p5,2,2,0.434782609,27
p7,2,2,0.086956522,20
p11,2,2,0.347826087,33
p13,2,2,0.39130434799999997,27
p15,2,2,0.565217391,13
p17,2,2,0.608695652,22
p19,2,2,0.434782609,72
p21,2,2,0.565217391,6
p23,2,2,0.39130434799999997,58
p25,2,2,0.347826087,39
p27,2,2,0.086956522,50
p31,2,2,0.52173913,44
p33,2,2,0.347826087,27
p35,2,2,0.47826087,37
