728,396,3.657
294,807,3.6005
281,777,3.826
281,785,3.8385
275,792,3.697
318,769,3.58
323,214,3.423
77,208,3.4455
87,213,3.398
307,216,3.5745
280,217,3.597
286,219,3.5165
213,858,3.5725
1214,783,3.3965
1248,794,3.4525
405,614,3.384
373,633,3.5195
472,624,3.4665
253,638,3.57
245,627,3.534
233,606,3.635
266,760,3.814
250,763,3.9175
249,750,3.743
246,678,3.6885
252,690,3.607
954,1017,3.706
342,1089,3.946
258,662,3.6555
185,651,3.4905
365,616,3.6325
185,356,3.5215
307,191,3.4665
367,167,3.408
90,222,3.5205
95,209,3.383
207,589,3.517
188,627,3.4565
1138,810,3.697
1139,811,3.7375
1140,821,3.552
1195,878,3.786
1179,884,3.8325
1221,886,3.7685
1032,666,3.7005
993,651,3.4815
958,644,3.6175
949,717,3.6215
987,759,3.693
1009,774,3.6165
194,649,3.512
248,684,3.4535
212,711,3.521
249,721,3.5365
256,730,3.5255
939,664,3.601
940,640,3.565
932,660,3.658
954,646,3.49
934,649,3.7365
979,645,3.5655
987,641,3.5675
981,646,3.5595
976,647,3.5565
925,663,3.541
972,673,3.6775
950,651,3.5745
1060,675,3.5305
990,576,3.522
1023,600,3.509
1043,670,3.484
1066,683,3.409
188,655,3.5715
1071,663,3.444
1081,677,3.6005
329,204,3.4685
1047,674,3.438
1069,683,3.428
217,650,3.5455
1007,601,3.4715
1005,593,3.6055
1013,595,3.5325
1008,616,3.574
1023,693,3.647
1027,697,3.577
1017,743,3.631
1004,767,3.6565
1024,749,3.6385
1009,748,3.574
892,776,3.4845
975,774,3.537
979,794,3.521
915,809,3.5625
907,810,3.5905
1043,768,3.587
1064,778,3.685
1088,816,3.5375
1118,736,3.5425
1252,719,3.511
1252,710,3.5475
300,647,3.6985
335,666,3.5965
331,659,3.517
326,661,3.501
272,620,3.505
377,829,3.509
362,1069,3.5915
294,738,3.724
245,708,3.4785
241,697,3.4385
251,708,3.472
242,700,3.48
247,706,3.477
156,588,3.4875
133,605,3.5375
211,604,3.502
267,187,3.5435
1032,593,3.482
985,620,3.4555
1051,692,3.3985
193,647,3.4945
288,205,3.4945
70,200,3.396
