User,Avg Fixation Duration,Success_Rate,Time_on_Task,Fixation_Count,Total Scanpath
p2,149.64,0.347826087,19,1166,178873.14
p4,186.29,0.391304348,12,605,137502.71
p6,198.44,0.869565217,26,4297,549868.31
p10,171.3,0.608695652,17,2131,351797.16
p12,194.41,0.304347826,17,2333,280861.81
p14,238.62,0.52173913,15,2234,291355.86
p16,259.69,0.52173913,28,4840,712853.24
p18,178.62,0.739130435,21,2485,439638.31
p20,245.78,0.391304348,30,4349,486544.57
p24,139.72,0.565217391,32,2522,427496.45
p28,202.62,0.52173913,10,1023,174510.74
p30,222.68,0.391304348,23,3895,567952.51
p32,359.31,0.304347826,21,3130,425933.76
p34,199.78,0.608695652,38,5707,917590.06
p36,255.03,0.434782609,21,3486,411874.25
