User,Avg Fixation Duration,Success_Rate,Time_on_Task,Fixation_Count,Total Scanpath
p2,160.72,0.391304348,25,2581,324201
p4,160.98,0.52173913,9,590,121734.7
p6,200.75,0.739130435,43,6752,714182.64
p10,222.797,0.47826087,29,4928,594968.66
p12,181.74,0.695652174,11,1132,128494.936
p14,349,0.217391304,28,3580,343056.29
p18,183.03,0.565217391,27,3559,524393.228
p20,211.55,0.434782609,23,468,45009.892
p24,141.17,0.739130435,25,1834,279982.268
p28,200.86,0.52173913,13,1849,223016.466
p30,295.75,0.47826087,32,5093,596143.493
p32,344.38,0.347826087,12,1735,209846.517
p34,217.75,0.565217391,49,6902,985287.825
p36,351.17,0.52173913,15,2183,235300.477
