User,Avg Fixation Duration,Success_Rate,Time_on_Task,Fixation_Count
p2,160.72,0.391304348,25,2581
p4,160.98,0.52173913,9,590
p6,200.75,0.739130435,43,6752
p10,222.797,0.47826087,29,4928
p12,181.74,0.695652174,11,1132
p14,349,0.217391304,28,3580
p18,183.03,0.565217391,27,3559
p20,211.55,0.434782609,23,468
p24,141.17,0.739130435,25,1834
p28,200.86,0.52173913,13,1849
p30,295.75,0.47826087,32,5093
p32,344.38,0.347826087,12,1735
p34,217.75,0.565217391,49,6902
p36,351.17,0.52173913,15,2183
